loss,params,stats,iteration,train_time
0.8709677419354839,"{'actv': 'relu', 'batch_size': 56, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.025571040437167434, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.6, 'l1_reg': 1e-05, 'nl_o': 7, 'nnl_o': 11, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9447098976109215, 'recall_N': 0.8617683686176837, 'fscore_N': 0.9013350700097689, 'precision_A': 0.05128205128205128, 'recall_A': 0.12903225806451613, 'fscore_A': 0.07339449541284404, 'precision_W': 0.8958053715905654, 'recall_W': 0.8216597998822837, 'fscore_W': 0.8560151915886306, 'err_threshold': 0.7777778953313828, 'n_perc': 87}",11,73.38908159999994
1.0,"{'actv': 'relu', 'batch_size': 48, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.011619363697558198, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.4, 'l1_reg': 2e-05, 'nl_o': 6, 'nnl_o': 10, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9369627507163324, 'recall_N': 1.0, 'fscore_N': 0.9674556213017751, 'precision_A': 0.0, 'recall_A': 0.0, 'fscore_A': 0.0, 'precision_W': 0.877899196229916, 'recall_W': 0.9369627507163324, 'fscore_W': 0.9064698801308895, 'err_threshold': 1.0, 'n_perc': 93}",12,67.05802930000004
0.8017241379310345,"{'actv': 'relu', 'batch_size': 64, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.01939400765474527, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': True, 'drop_factor': 0.6, 'l1_reg': 2e-05, 'nl_o': 9, 'nnl_o': 15, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9368206521739131, 'recall_N': 0.8418803418803419, 'fscore_N': 0.8868167202572347, 'precision_A': 0.08156028368794327, 'recall_A': 0.19827586206896552, 'fscore_A': 0.11557788944723618, 'precision_W': 0.8802583929125833, 'recall_W': 0.7993158494868872, 'fscore_W': 0.8358111875468813, 'err_threshold': 0.75, 'n_perc': 75}",13,91.107167
0.8200000000000001,"{'actv': 'relu', 'batch_size': 40, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.11824193851427918, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': True, 'drop_factor': 0.1, 'l1_reg': 2e-05, 'nl_o': 6, 'nnl_o': 6, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9445571331981069, 'recall_N': 0.829080118694362, 'fscore_N': 0.8830594184576485, 'precision_A': 0.058823529411764705, 'recall_A': 0.18, 'fscore_A': 0.08866995073891625, 'precision_W': 0.8949362030139981, 'recall_W': 0.7927170868347339, 'fscore_W': 0.8385558068207447, 'err_threshold': 0.7777861803770065, 'n_perc': 83}",14,67.99340250000012
0.38095238095238093,"{'actv': 'relu', 'batch_size': 64, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.04429068605235681, 'optimizer': 'adam', 'overcomplete': False, 'shuffle': False, 'drop_factor': 0.1, 'nl_o': 3, 'nnl_o': 10, 'nl_u': 4, 'nnl_u': 9}","{'precision_N': 0.9501246882793017, 'recall_N': 0.46921182266009853, 'fscore_N': 0.6281945589447651, 'precision_A': 0.07011866235167206, 'recall_A': 0.6190476190476191, 'fscore_A': 0.12596899224806202, 'precision_W': 0.896683026785721, 'recall_W': 0.4783111625216888, 'fscore_W': 0.59769503060286, 'err_threshold': 0.75, 'n_perc': 40}",15,51.91430259999993
0.30188679245283023,"{'actv': 'relu', 'batch_size': 56, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.03717271669748786, 'optimizer': 'adam', 'overcomplete': False, 'shuffle': True, 'drop_factor': 0.1, 'nl_o': 3, 'nnl_o': 10, 'nl_u': 3, 'nnl_u': 5}","{'precision_N': 0.9596977329974811, 'recall_N': 0.46863468634686345, 'fscore_N': 0.6297520661157024, 'precision_A': 0.07889125799573561, 'recall_A': 0.6981132075471698, 'fscore_A': 0.1417624521072797, 'precision_W': 0.9057915630493373, 'recall_W': 0.48267898383371827, 'fscore_W': 0.5998866509396673, 'err_threshold': 0.7777777777777777, 'n_perc': 47}",16,51.87439049999989
0.7523809523809524,"{'actv': 'relu', 'batch_size': 56, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.02666544637618878, 'optimizer': 'adam', 'overcomplete': False, 'shuffle': False, 'drop_factor': 0.7, 'nl_o': 3, 'nnl_o': 10, 'nl_u': 8, 'nnl_u': 5}","{'precision_N': 0.9437321937321937, 'recall_N': 0.8113900796080833, 'fscore_N': 0.8725716167270332, 'precision_A': 0.07784431137724551, 'recall_A': 0.24761904761904763, 'fscore_A': 0.11845102505694761, 'precision_W': 0.8914202100456174, 'recall_W': 0.7773302646720368, 'fscore_W': 0.8270119722360326, 'err_threshold': 0.8888888888888888, 'n_perc': 80}",17,47.15024440000002
0.5740740740740741,"{'actv': 'relu', 'batch_size': 8, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.026562719673864414, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.1, 'l1_reg': 2e-05, 'nl_o': 5, 'nnl_o': 13, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9458515283842794, 'recall_N': 0.673088875077688, 'fscore_N': 0.7864923747276689, 'precision_A': 0.08041958041958042, 'recall_A': 0.42592592592592593, 'fscore_A': 0.13529411764705881, 'precision_W': 0.8914155060312291, 'recall_W': 0.6575422248107163, 'fscore_W': 0.7455317388716957, 'err_threshold': 0.8888888888888888, 'n_perc': 57}",18,160.65079419999984
0.5913978494623655,"{'actv': 'relu', 'batch_size': 64, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.1727225912355785, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.1, 'l1_reg': 2e-05, 'nl_o': 9, 'nnl_o': 9, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9514991181657848, 'recall_N': 0.6484375, 'fscore_N': 0.771265189421015, 'precision_A': 0.060995184590690206, 'recall_A': 0.40860215053763443, 'fscore_A': 0.10614525139664804, 'precision_W': 0.9043637363658509, 'recall_W': 0.6357427433124644, 'fscore_W': 0.7360596377782909, 'err_threshold': 0.7777777777777777, 'n_perc': 60}",19,71.5616943
0.25409836065573765,"{'actv': 'relu', 'batch_size': 24, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.12161226199676824, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.1, 'l1_reg': 1e-05, 'nl_o': 8, 'nnl_o': 11, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9615384615384616, 'recall_N': 0.4737163814180929, 'fscore_N': 0.6347256347256348, 'precision_A': 0.09558823529411764, 'recall_A': 0.7459016393442623, 'fscore_A': 0.16945996275605216, 'precision_W': 0.9014440772370907, 'recall_W': 0.4926052332195677, 'fscore_W': 0.6024375733033999, 'err_threshold': 0.6666666666666666, 'n_perc': 42}",20,106.10607579999987
0.3877551020408163,"{'actv': 'relu', 'batch_size': 24, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.0689905384293492, 'optimizer': 'adam', 'overcomplete': False, 'shuffle': True, 'drop_factor': 0.1, 'nl_o': 3, 'nnl_o': 10, 'nl_u': 6, 'nnl_u': 2}","{'precision_N': 0.9679324894514768, 'recall_N': 0.7133084577114428, 'fscore_N': 0.8213390619405657, 'precision_A': 0.11516314779270634, 'recall_A': 0.6122448979591837, 'fscore_A': 0.19386106623586433, 'precision_W': 0.9189457394616999, 'recall_W': 0.7075029308323564, 'fscore_W': 0.7852940188109874, 'err_threshold': 0.6666666666666666, 'n_perc': 47}",21,78.63054110000007
