boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,loss,iteration,boosting_int
gbdt,,0.7509976837490597,0.0765662254430488,270,48,0.18975516926895872,0.8439863690273732,60000,0.6704269318204827,0.23297857831933,58,1
gbdt,,0.6360579437253503,0.025589524703428467,270,33,0.6310575838230993,0.9607322066066706,40000,0.7260896543263929,0.2351599760522312,27,1
gbdt,,0.7258257081470649,0.07099631154713852,280,77,0.5026433123801513,0.9026237515182737,40000,0.6384270218145534,0.23526645537249855,70,1
gbdt,,0.6135477238595343,0.04192719099324077,260,33,0.3971761615016543,0.8701409951216755,200000,0.6832505235186916,0.2355951117553201,89,1
gbdt,,0.7655351825742228,0.13116407742922698,220,70,0.5869334186053297,0.9622501772566364,20000,0.6001175741317574,0.23580095620628594,64,1
gbdt,,0.620649129448606,0.017934544496484815,260,30,0.2092981310373776,0.8946886330215067,20000,0.8731487506937664,0.23588638493201355,5,1
gbdt,,0.7885585008423576,0.07367710484047449,240,88,0.3752635568173021,0.030043087746579045,40000,0.6542229127059294,0.2359875024683943,63,1
gbdt,,0.7553374995937607,0.10681178961870429,235,40,0.618067720748362,0.7900583367110634,180000,0.534560091553434,0.23614793813814505,98,1
gbdt,,0.8093302901105419,0.13329433778740934,260,72,0.5756662891302584,0.963500696811953,20000,0.5934032485212357,0.2361912740849952,66,1
gbdt,,0.6437690313368148,0.09715910081224566,370,36,0.4637176406705127,0.8430676387196431,120000,0.7931705881671917,0.2364684612952989,96,1
gbdt,,0.8185259348671011,0.08396527625443338,270,60,0.48447121415609884,0.8401914517494683,60000,0.6758617617004369,0.23652794006352065,59,1
gbdt,,0.739796055150533,0.09983497675849332,270,34,0.42751905386000943,0.8016047280050413,140000,0.6768283156160768,0.2365907513741428,75,1
gbdt,,0.6774380520624521,0.08509659283281991,290,114,0.8685921568342315,0.8173323673253019,20000,0.8907009616114481,0.23682546734649498,97,1
gbdt,,0.6042465490298499,0.027218649630775457,270,51,0.5948175235988165,0.9636061984397639,60000,0.6907137438306581,0.23686604152329616,26,1
gbdt,,0.7210188326438938,0.06026039416776578,280,100,0.500686691684887,0.8601081979269987,80000,0.6976565408977686,0.2369745468611389,74,1
gbdt,,0.6666443172229086,0.05744755877242924,230,43,0.7133013749891295,0.7589407773706418,40000,0.625839548671577,0.2370811545771513,78,1
gbdt,balanced,0.840335809913853,0.04107118184854267,240,87,0.6039908466214884,0.47025739270474004,80000,0.6472340003710114,0.23743243131864897,81,1
gbdt,,0.8205181140874376,0.03361394808732983,275,53,0.03264530073325064,0.6906235224118105,140000,0.5852642349773399,0.23782019235588936,88,1
