loss,params,iteration,estimators,train_time
0.24490182210943323,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7723019108689622, 'learning_rate': 0.10875645732896141, 'min_child_samples': 380, 'num_leaves': 112, 'reg_alpha': 0.002436386070584051, 'reg_lambda': 0.09460288039448272, 'subsample_for_bin': 180000, 'subsample': 1.0}",19,4,1.0111994000008053
0.25548720368196387,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8563420176866683, 'learning_rate': 0.06644368221542607, 'min_child_samples': 85, 'num_leaves': 66, 'reg_alpha': 0.776616518870496, 'reg_lambda': 0.5854944753883532, 'subsample_for_bin': 300000, 'subsample': 1.0}",20,12,1.5865585000001374
0.2410805289702852,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6653288148184116, 'learning_rate': 0.19802256882096753, 'min_child_samples': 320, 'num_leaves': 90, 'reg_alpha': 0.05508536902989189, 'reg_lambda': 0.878442626206101, 'subsample_for_bin': 80000, 'subsample': 0.9472675319665234}",21,5,1.3676281999996718
0.24188028321858646,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6638719080200297, 'learning_rate': 0.1284813716815191, 'min_child_samples': 315, 'num_leaves': 82, 'reg_alpha': 0.0708678790296157, 'reg_lambda': 0.856809841017921, 'subsample_for_bin': 20000, 'subsample': 0.9733370199308299}",22,27,1.749600900000587
0.23841297700841502,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6720242739445408, 'learning_rate': 0.010395111872277856, 'min_child_samples': 490, 'num_leaves': 92, 'reg_alpha': 0.0057102465414531275, 'reg_lambda': 0.8676835101650509, 'subsample_for_bin': 100000, 'subsample': 0.673846527634085}",23,109,2.691900699999678
0.24188646667917368,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6532377694780975, 'learning_rate': 0.010464334568785174, 'min_child_samples': 320, 'num_leaves': 147, 'reg_alpha': 0.10942021059758994, 'reg_lambda': 0.8875164434985663, 'subsample_for_bin': 80000, 'subsample': 0.6491547847672849}",24,179,3.403880400000162
0.23985793263114508,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6907825999906001, 'learning_rate': 0.013628147485817513, 'min_child_samples': 360, 'num_leaves': 84, 'reg_alpha': 0.23871409788131917, 'reg_lambda': 0.8016986997571902, 'subsample_for_bin': 20000, 'subsample': 0.8750225774617348}",25,125,2.6245335999992676
0.23686604152329616,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6042465490298499, 'learning_rate': 0.027218649630775457, 'min_child_samples': 270, 'num_leaves': 51, 'reg_alpha': 0.5948175235988165, 'reg_lambda': 0.9636061984397639, 'subsample_for_bin': 60000, 'subsample': 0.6907137438306581}",26,113,2.8144096000005447
0.23515997605223116,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6360579437253503, 'learning_rate': 0.025589524703428467, 'min_child_samples': 270, 'num_leaves': 33, 'reg_alpha': 0.6310575838230993, 'reg_lambda': 0.9607322066066706, 'subsample_for_bin': 40000, 'subsample': 0.7260896543263929}",27,108,2.593440300000111
0.23918402765902258,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6343601449779234, 'learning_rate': 0.026568172307769318, 'min_child_samples': 280, 'num_leaves': 30, 'reg_alpha': 0.6833648830862724, 'reg_lambda': 0.3047999260552269, 'subsample_for_bin': 20000, 'subsample': 0.8784761693373023}",28,114,2.8157439999995404
0.24147233671621549,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7021760646812596, 'learning_rate': 0.02636796783982181, 'min_child_samples': 200, 'num_leaves': 35, 'reg_alpha': 0.603369495677075, 'reg_lambda': 0.6382306447608685, 'subsample_for_bin': 40000, 'subsample': 0.7470861278243799}",29,66,3.354213399999935
0.23891760859056121,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6370518020341909, 'learning_rate': 0.014988077865732707, 'min_child_samples': 295, 'num_leaves': 51, 'reg_alpha': 0.6328210600715574, 'reg_lambda': 0.9799519748936334, 'subsample_for_bin': 60000, 'subsample': 0.6065200324106028}",30,144,3.6791352999998708
0.24193061841558305,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7290261673722858, 'learning_rate': 0.022434887000252476, 'min_child_samples': 355, 'num_leaves': 40, 'reg_alpha': 0.5102695958241481, 'reg_lambda': 0.784361016878536, 'subsample_for_bin': 80000, 'subsample': 0.906169886907838}",31,187,3.351915899999767
0.23822783945508175,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6004904878479266, 'learning_rate': 0.03103352832834856, 'min_child_samples': 250, 'num_leaves': 58, 'reg_alpha': 0.4128885365445767, 'reg_lambda': 0.9978887158403177, 'subsample_for_bin': 140000, 'subsample': 0.7452480536865648}",32,119,2.8206451999994897
0.24880972238372934,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6343488642464081, 'learning_rate': 0.014950111707049489, 'min_child_samples': 30, 'num_leaves': 30, 'reg_alpha': 0.5308700039345118, 'reg_lambda': 0.9288523739383576, 'subsample_for_bin': 40000, 'subsample': 0.8071669360226218}",33,11,2.2821618999996645
0.24499549241226004,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8187450512374068, 'learning_rate': 0.023341833460910864, 'min_child_samples': 140, 'num_leaves': 77, 'reg_alpha': 0.6804802558312222, 'reg_lambda': 0.15943369646432448, 'subsample_for_bin': 100000, 'subsample': 0.580095748920592}",34,128,4.307243100000051
0.23795902936629365,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8521050429551839, 'learning_rate': 0.04355103574531496, 'min_child_samples': 255, 'num_leaves': 53, 'reg_alpha': 0.40539486058597274, 'reg_lambda': 0.6575768704806373, 'subsample_for_bin': 140000, 'subsample': 0.8515416084168261}",35,60,2.2482717000002594
0.2454764261487299,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8784345510768649, 'learning_rate': 0.016736982525478256, 'min_child_samples': 200, 'num_leaves': 42, 'reg_alpha': 0.4649545592873986, 'reg_lambda': 0.5099496378452261, 'subsample_for_bin': 120000, 'subsample': 0.9224873600960377}",36,112,3.3950277000003553
0.24219653665653662,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6857912386526215, 'learning_rate': 0.012455066142921014, 'min_child_samples': 160, 'num_leaves': 98, 'reg_alpha': 0.7248186100563592, 'reg_lambda': 0.808593071608181, 'subsample_for_bin': 20000, 'subsample': 0.7197166018512157}",37,221,5.805386500000168
