class_weight,boosting_type,num_leaves,learning_rate,subsample_for_bin,min_child_samples,reg_alpha,reg_lambda,colsample_bytree,subsample,loss,iteration
balanced,gbdt,135,0.005112013431877946,180000,225,0.9183673469387754,0.7959183673469387,0.8222222222222222,0.9696969696969697,0.2433956824099287,54
balanced,goss,105,0.01320485223106456,140000,225,0.6938775510204082,0.5714285714285714,0.8222222222222222,1.0,0.24369759266948887,85
balanced,gbdt,33,0.14884590921092636,100000,410,0.7959183673469387,0.1020408163265306,0.8222222222222222,0.5454545454545454,0.24376237014508495,42
balanced,goss,84,0.005991692591322071,40000,370,0.14285714285714285,0.18367346938775508,0.8666666666666667,1.0,0.24388128549035015,90
balanced,goss,86,0.021980579091407017,180000,305,1.0,0.08163265306122448,0.6444444444444444,1.0,0.24388360222056238,87
balanced,goss,72,0.009401485689899946,160000,355,0.18367346938775508,0.3469387755102041,0.6,1.0,0.24397845611910007,61
,gbdt,75,0.005168957689093439,200000,455,0.5306122448979591,0.6122448979591836,0.9555555555555555,0.6414141414141414,0.24410133673426926,8
,gbdt,98,0.005149906136788399,160000,205,0.3877551020408163,0.673469387755102,1.0,0.7474747474747475,0.24413874489066223,31
,gbdt,112,0.012219589280684617,220000,185,0.673469387755102,0.5306122448979591,0.9111111111111111,0.8686868686868687,0.24415912953740204,10
balanced,goss,128,0.02846397739454339,260000,465,0.42857142857142855,0.3469387755102041,0.8222222222222222,1.0,0.2444522683771596,39
,goss,32,0.020567105897255245,120000,425,0.22448979591836732,0.0,0.8666666666666667,1.0,0.24450435289609784,68
balanced,goss,58,0.010197109660117238,40000,230,0.7755102040816326,0.7755102040816326,0.8666666666666667,1.0,0.24463973611702783,2
,goss,142,0.05234799941715502,160000,265,0.2857142857142857,0.7959183673469387,0.9111111111111111,1.0,0.24465667426313453,48
,goss,45,0.01320485223106456,240000,335,0.26530612244897955,0.2040816326530612,0.8222222222222222,1.0,0.24465761676639863,27
,goss,133,0.020265556287172585,160000,225,0.5714285714285714,0.7959183673469387,0.9111111111111111,1.0,0.24469897869875346,60
,goss,83,0.011603935808414702,160000,195,0.673469387755102,0.26530612244897955,0.7333333333333333,1.0,0.244743126370232,93
balanced,goss,148,0.07085989567752947,40000,440,0.9183673469387754,0.16326530612244897,0.9111111111111111,1.0,0.2447867136419415,44
,goss,103,0.11367617618284119,180000,210,0.1020408163265306,0.4693877551020408,0.9555555555555555,1.0,0.2450194148103202,7
balanced,gbdt,82,0.01827493947281459,220000,175,0.12244897959183673,0.04081632653061224,0.9555555555555555,0.7222222222222222,0.24543354056817746,40
,goss,56,0.008540852748112464,220000,385,0.9795918367346939,0.3877551020408163,0.9111111111111111,1.0,0.24551145519924833,35
balanced,goss,90,0.006996863427233354,140000,95,0.4693877551020408,0.061224489795918366,0.6,1.0,0.24603118982150307,11
,gbdt,148,0.00993691200872091,240000,160,0.36734693877551017,0.32653061224489793,0.8222222222222222,0.7323232323232324,0.24649357892318247,47
balanced,goss,41,0.11409670959818123,200000,285,0.2040816326530612,0.7959183673469387,0.7333333333333333,1.0,0.24682570661673164,70
,goss,141,0.1477507098101902,140000,290,0.673469387755102,0.5714285714285714,0.9555555555555555,1.0,0.24703721786156374,46
,goss,99,0.14451322534564692,220000,295,0.5306122448979591,0.6122448979591836,0.9555555555555555,1.0,0.24707987776837204,34
balanced,goss,66,0.0269302652491618,220000,430,0.24489795918367346,0.22448979591836732,1.0,1.0,0.24709703387887139,38
balanced,goss,92,0.0074777224721053435,200000,300,0.2040816326530612,0.7551020408163265,1.0,1.0,0.24735145425282024,89
balanced,goss,36,0.11536766720918534,260000,235,0.7755102040816326,0.7755102040816326,0.8666666666666667,1.0,0.24744246258665725,84
,goss,64,0.10213232309588141,140000,465,0.12244897959183673,0.24489795918367346,0.9111111111111111,1.0,0.24750471728210077,4
,goss,135,0.011996050644130365,200000,305,0.16326530612244897,0.3877551020408163,1.0,1.0,0.2479215921947049,67
,goss,112,0.017482840015198953,120000,320,0.5918367346938775,0.4693877551020408,0.9555555555555555,1.0,0.24866281620535946,94
balanced,gbdt,99,0.15501624172378198,180000,105,0.2857142857142857,0.36734693877551017,0.6,0.9545454545454546,0.24938963830638294,45
,goss,66,0.07298436232037893,220000,315,0.8163265306122448,0.8163265306122448,0.9555555555555555,1.0,0.24973073281675262,25
balanced,goss,140,0.00617133088915982,120000,65,0.0,0.5714285714285714,0.6444444444444444,1.0,0.2498735835958905,43
,goss,85,0.08713761588023018,180000,435,0.02040816326530612,0.673469387755102,0.6,1.0,0.2498973749349751,55
,goss,123,0.07298436232037893,260000,340,0.9183673469387754,0.7551020408163265,1.0,1.0,0.25100661423111514,73
,gbdt,133,0.007127245446872905,100000,70,0.8979591836734693,0.6326530612244897,0.7333333333333333,0.8131313131313131,0.25110523309658794,62
balanced,goss,85,0.01861548113723839,180000,115,0.2857142857142857,0.02040816326530612,0.9555555555555555,1.0,0.2521835050490926,16
balanced,goss,130,0.061583063540367876,200000,175,0.32653061224489793,0.2857142857142857,1.0,1.0,0.25277411370211356,20
,gbdt,84,0.009612104225275357,200000,55,0.7346938775510203,0.7142857142857142,0.6444444444444444,0.7777777777777778,0.25294804003614824,69
,gbdt,33,0.08004264091132256,240000,70,0.6938775510204082,0.5714285714285714,0.8222222222222222,0.8535353535353536,0.2543711696437473,53
balanced,goss,89,0.07572973801611271,140000,130,0.5102040816326531,0.14285714285714285,0.9111111111111111,1.0,0.25453803323061297,56
